timestamp(ms),wheight,temp,
"1767011617.306","1946.156",,
"1767011617.307",,"216.53",
"1767011617.406","1946.156",,
"1767011617.407",,"216.11",
"1767011617.507","1946.156",,
"1767011617.508",,"216.31",
"1767011617.607","1946.156",,
"1767011617.608",,"216.48",
"1767011617.707","1963.439",,
"1767011617.708",,"216.41",
"1767011617.806","1963.439",,
"1767011617.807",,"216.36",
"1767011617.906","1963.439",,
"1767011617.907",,"216.26",
"1767011618.006","1963.439",,
"1767011618.007",,"216.26",
"1767011618.106","1963.439",,
"1767011618.107",,"216.13",
"1767011618.206","1963.439",,
"1767011618.207",,"216.17",
"1767011618.306","1963.439",,
"1767011618.307",,"216.23",
"1767011618.406","1963.439",,
"1767011618.407",,"216.17",
"1767011618.506","1963.439",,
"1767011618.507",,"216.27",
"1767011618.606","1963.439",,
"1767011618.608",,"216.08",
"1767011618.706","1981.814",,
"1767011618.707",,"216.07",
"1767011618.806","1981.814",,
"1767011618.808",,"216.07",
"1767011618.906","1981.814",,
"1767011618.908",,"215.99",
"1767011619.006","1981.814",,
"1767011619.007",,"216.11",
"1767011619.106","1981.814",,
"1767011619.107",,"216",
"1767011619.206","1981.814",,
"1767011619.207",,"216.08",
"1767011619.306","1981.814",,
"1767011619.307",,"216.16",
"1767011619.406","1981.814",,
"1767011619.407",,"215.91",
"1767011619.506","1981.814",,
"1767011619.507",,"215.96",
"1767011619.606","1981.814",,
"1767011619.608",,"215.76",
"1767011619.706","1998.798",,
"1767011619.707",,"216",
"1767011619.807","1998.798",,
"1767011619.808",,"216.03",
"1767011619.906","1998.798",,
"1767011619.907",,"215.95",
"1767011620.007","1998.798",,
"1767011620.008",,"216.02",
"1767011620.106","1998.798",,
"1767011620.107",,"216",
"1767011620.206","1998.798",,
"1767011620.207",,"216",
"1767011620.307","1998.798",,
"1767011620.308",,"215.8",
"1767011620.406","1998.798",,
"1767011620.407",,"216.08",
"1767011620.506","1998.798",,
"1767011620.507",,"215.94",
"1767011620.606","1998.798",,
"1767011620.607",,"216.05",
"1767011620.706","2011.608",,
"1767011620.707",,"216.17",
"1767011620.807","2011.608",,
"1767011620.808",,"215.99",
"1767011620.906","2011.608",,
"1767011620.907",,"215.98",
"1767011621.007","2011.608","216.12",
"1767011621.106","2011.608",,
"1767011621.107",,"215.77",
"1767011621.207","2011.608","216.11",
"1767011621.306","2011.608",,
"1767011621.307",,"215.99",
"1767011621.406","2011.608",,
"1767011621.407",,"216.12",
"1767011621.507","2011.608",,
"1767011621.508",,"216.18",
"1767011621.607","2011.608",,
"1767011621.608",,"216.39",
"1767011621.707","2009.826",,
"1767011621.708",,"216.8",
"1767011621.807","2009.826",,
"1767011621.808",,"215.94",
"1767011621.906","2009.826",,
"1767011621.907",,"216.25",
"1767011622.006","2009.826",,
"1767011622.007",,"216.3",
"1767011622.107","2009.826",,
"1767011622.108",,"216.23",
"1767011622.207","2009.826",,
"1767011622.208",,"216.4",
"1767011622.307","2009.826","216.54",
"1767011622.407","2009.826",,
"1767011622.408",,"216.41",
"1767011622.507","2009.826","216.52",
"1767011622.606","2009.826",,
"1767011622.607",,"216.58",
"1767011622.706","2001.15",,
"1767011622.707",,"216.58",
"1767011622.807","2001.15",,
"1767011622.808",,"216.59",
"1767011622.907","2001.15",,
"1767011622.908",,"216.63",
"1767011623.007","2001.15",,
"1767011623.008",,"216.68",
"1767011623.107","2001.15",,
"1767011623.108",,"216.59",
"1767011623.207","2001.15","216.52",
"1767011623.307","2001.15",,
"1767011623.308",,"216.58",
"1767011623.406","2001.15",,
"1767011623.407",,"217.2",
"1767011623.507","2001.15",,
"1767011623.508",,"218.33",
"1767011623.606","2001.15",,
"1767011623.608",,"216.86",
"1767011623.707","1990.371","217.33",
"1767011623.806","1990.371",,
"1767011623.807",,"217.11",
"1767011623.906","1990.371",,
"1767011623.907",,"217.37",
"1767011624.007","1990.371",,
"1767011624.008",,"217.6",
"1767011624.107","1990.371",,
"1767011624.108",,"217.58",
"1767011624.206","1990.371",,
"1767011624.208",,"217.87",
"1767011624.307","1990.371",,
"1767011624.308",,"218.24",
"1767011624.407","1990.371",,
"1767011624.408",,"217.8",
"1767011624.507","1990.371",,
"1767011624.508",,"218.43",
"1767011624.606","1990.371",,
"1767011624.608",,"217.93",
"1767011624.707","1981.013",,
"1767011624.708",,"218.03",
"1767011624.807","1981.013",,
"1767011624.808",,"218.01",
"1767011624.907","1981.013",,
"1767011624.908",,"218.15",
"1767011625.007","1981.013",,
"1767011625.008",,"218.16",
"1767011625.107","1981.013",,
"1767011625.108",,"218.29",
"1767011625.207","1981.013",,
"1767011625.208",,"218.42",
"1767011625.307","1981.013",,
"1767011625.308",,"218.32",
"1767011625.407","1981.013",,
"1767011625.408",,"218.41",
"1767011625.507","1981.013",,
"1767011625.508",,"219",
"1767011625.607","1981.013",,
"1767011625.608",,"218.55",
"1767011625.707","1959.156",,
"1767011625.708",,"218.63",
"1767011625.807","1959.156",,
"1767011625.808",,"218.57",
"1767011625.907","1959.156",,
"1767011625.908",,"218.66",
"1767011626.007","1959.156",,
"1767011626.008",,"218.75",
"1767011626.107","1959.156",,
"1767011626.108",,"218.78",
"1767011626.207","1959.156",,
"1767011626.208",,"218.87",
"1767011626.306","1959.156",,
"1767011626.308",,"218.96",
"1767011626.407","1959.156",,
"1767011626.408",,"218.95",
"1767011626.506","1959.156",,
"1767011626.508",,"218.99",
"1767011626.606","1959.156",,
"1767011626.607",,"219.01",
"1767011626.706","1939.83",,
"1767011626.707",,"219.05",
"1767011626.807","1939.83",,
"1767011626.808",,"219.26",
"1767011626.906","1939.83",,
"1767011626.907",,"219.27",
"1767011627.007","1939.83",,
"1767011627.008",,"219.4",
"1767011627.106","1939.83",,
"1767011627.108",,"219.35",
"1767011627.207","1939.83",,
"1767011627.208",,"219.64",
"1767011627.306","1939.83",,
"1767011627.308",,"219.64",
"1767011627.407","1939.83",,
"1767011627.408",,"219.62",
"1767011627.506","1939.83",,
"1767011627.508",,"219.83",
"1767011627.607","1939.83",,
"1767011627.608",,"219.72",
"1767011627.707","1917.242","220.26",
"1767011627.807","1917.242",,
"1767011627.808",,"219.72",
"1767011627.907","1917.242",,
"1767011627.908",,"220.03",
"1767011628.007","1917.242",,
"1767011628.008",,"220",
"1767011628.107","1917.242","220.03",
"1767011628.207","1917.242",,
"1767011628.208",,"221.25",
"1767011628.306","1917.242",,
"1767011628.308",,"220.09",
"1767011628.407","1917.242",,
"1767011628.408",,"220.63",
"1767011628.506","1917.242",,
"1767011628.508",,"220.25",
"1767011628.607","1917.242",,
"1767011628.608",,"220.05",
"1767011628.707","1897.527",,
"1767011628.708",,"220.36",
"1767011628.806","1897.527",,
"1767011628.808",,"220.53",
"1767011628.907","1897.527",,
"1767011628.908",,"220.55",
"1767011629.007","1897.527",,
"1767011629.008",,"220.51",
"1767011629.107","1897.527",,
"1767011629.108",,"220.53",
"1767011629.207","1897.527",,
"1767011629.208",,"220.73",
"1767011629.307","1897.527",,
"1767011629.308",,"220.85",
"1767011629.407","1897.527",,
"1767011629.408",,"220.73",
"1767011629.507","1897.527",,
"1767011629.508",,"220.86",
"1767011629.607","1897.527",,
"1767011629.608",,"221.06",
"1767011629.707","1876.08",,
"1767011629.708",,"221.53",
"1767011629.807","1876.08",,
"1767011629.808",,"221.1",
"1767011629.907","1876.08",,
"1767011629.908",,"221.08",
"1767011630.007","1876.08",,
"1767011630.008",,"221.25",
"1767011630.107","1876.08",,
"1767011630.108",,"221.13",
"1767011630.206","1876.08",,
"1767011630.208",,"221.25",
"1767011630.306","1876.08",,
"1767011630.308",,"221.4",
"1767011630.407","1876.08",,
"1767011630.408",,"221.33",
"1767011630.507","1876.08",,
"1767011630.508",,"221.25",
"1767011630.606","1876.08",,
"1767011630.608",,"221.83",
"1767011630.707","1854.352",,
"1767011630.708",,"221.46",
"1767011630.806","1854.352",,
"1767011630.808",,"221.48",
"1767011630.907","1854.352",,
"1767011630.908",,"221.63",
"1767011631.006","1854.352",,
"1767011631.008",,"221.51",
"1767011631.107","1854.352",,
"1767011631.108",,"221.33",
"1767011631.207","1854.352",,
"1767011631.208",,"221.46",
"1767011631.307","1854.352",,
"1767011631.308",,"221.51",
"1767011631.407","1854.352",,
"1767011631.408",,"221.46",
"1767011631.507","1854.352",,
"1767011631.508",,"221.43",
"1767011631.607","1854.352",,
"1767011631.608",,"221.51",
"1767011631.707","1688.77",,
"1767011631.708",,"221.38",
"1767011631.807","1688.77",,
"1767011631.808",,"221.48",
"1767011631.907","1688.77",,
"1767011631.908",,"221.4",
"1767011632.007","1688.77",,
"1767011632.008",,"221.48",
"1767011632.107","1688.77",,
"1767011632.108",,"221.26",
"1767011632.207","1688.77",,
"1767011632.208",,"221.33",
